0 hella -104452858093779680.0000
65 | train | 8.064296 | 1.4655 | 5.5385e-05 | 3332.28 | 157336.35
66 | train | 8.003156 | 1.3105 | 5.6224e-05 | 3332.21 | 157339.65
67 | train | 8.000825 | 1.2508 | 5.7063e-05 | 3332.07 | 157345.83
68 | train | 7.961564 | 1.3373 | 5.7902e-05 | 3332.21 | 157339.56
69 | train | 7.870542 | 1.2671 | 5.8741e-05 | 3332.41 | 157330.09
70 | train | 7.826234 | 1.2924 | 5.9580e-05 | 3332.30 | 157335.31
71 | train | 7.837705 | 1.1839 | 6.0420e-05 | 3332.31 | 157334.69
72 | train | 7.770123 | 1.2229 | 6.1259e-05 | 3332.30 | 157334.97
73 | train | 7.740944 | 1.1938 | 6.2098e-05 | 3332.43 | 157329.08
74 | train | 7.680035 | 1.2412 | 6.2937e-05 | 3332.15 | 157342.30
75 | train | 7.697366 | 1.1812 | 6.3776e-05 | 3332.10 | 157344.84
76 | train | 7.629788 | 1.5156 | 6.4615e-05 | 3332.31 | 157334.61
77 | train | 7.638606 | 1.2038 | 6.5455e-05 | 3332.38 | 157331.23
78 | train | 7.598092 | 1.2532 | 6.6294e-05 | 3332.13 | 157343.29
79 | train | 7.537242 | 1.1022 | 6.7133e-05 | 3332.25 | 157337.57
80 | train | 7.512115 | 1.0605 | 6.7972e-05 | 3332.32 | 157334.41
81 | train | 7.511647 | 0.9705 | 6.8811e-05 | 3332.70 | 157316.09
82 | train | 7.450544 | 1.2209 | 6.9650e-05 | 3332.19 | 157340.43
83 | train | 7.392328 | 1.0162 | 7.0490e-05 | 3332.13 | 157343.14
84 | train | 7.392971 | 1.2436 | 7.1329e-05 | 3332.19 | 157340.46
85 | train | 7.347742 | 1.0462 | 7.2168e-05 | 3332.39 | 157330.85
86 | train | 7.332498 | 1.0785 | 7.3007e-05 | 3332.11 | 157344.10
87 | train | 7.339233 | 0.9384 | 7.3846e-05 | 3332.18 | 157340.87
88 | train | 7.311974 | 0.9658 | 7.4685e-05 | 3332.38 | 157331.42
89 | train | 7.345580 | 1.0185 | 7.5524e-05 | 3332.34 | 157333.33
90 | train | 7.263632 | 1.0679 | 7.6364e-05 | 3332.16 | 157341.66
91 | train | 7.245710 | 0.9317 | 7.7203e-05 | 3332.16 | 157341.72
92 | train | 7.277721 | 1.0029 | 7.8042e-05 | 3332.37 | 157331.97
93 | train | 7.334478 | 1.0705 | 7.8881e-05 | 3332.21 | 157339.24
94 | train | 7.342636 | 1.3307 | 7.9720e-05 | 3332.35 | 157332.98
95 | train | 7.323941 | 0.6646 | 8.0559e-05 | 3332.48 | 157326.73
96 | train | 7.274550 | 0.7627 | 8.1399e-05 | 3332.40 | 157330.67
97 | train | 7.229437 | 0.8028 | 8.2238e-05 | 3332.75 | 157314.06
98 | train | 7.263930 | 0.8854 | 8.3077e-05 | 3332.12 | 157343.63
99 | train | 7.200723 | 0.6890 | 8.3916e-05 | 3332.31 | 157334.91
100 val 7.2079
100 hella -835780095689926656.0000
100 | train | 7.258140 | 0.6484 | 8.4755e-05 | 57193.86 | 9166.86
101 | train | 7.176328 | 0.6419 | 8.5594e-05 | 3332.91 | 157306.31
102 | train | 7.162400 | 0.9426 | 8.6434e-05 | 3332.51 | 157325.07
103 | train | 7.050506 | 1.0062 | 8.7273e-05 | 3333.52 | 157277.76
104 | train | 7.133857 | 0.6774 | 8.8112e-05 | 3332.50 | 157325.61
105 | train | 7.147212 | 0.9874 | 8.8951e-05 | 3332.32 | 157334.10
106 | train | 7.099284 | 1.3129 | 8.9790e-05 | 3332.53 | 157324.16
107 | train | 7.037951 | 0.7133 | 9.0629e-05 | 3332.25 | 157337.52
108 | train | 7.098348 | 0.8004 | 9.1469e-05 | 3332.41 | 157329.78
109 | train | 7.117607 | 0.8789 | 9.2308e-05 | 3332.48 | 157326.49
110 | train | 7.049639 | 0.9758 | 9.3147e-05 | 3332.31 | 157334.68
111 | train | 7.019009 | 0.5986 | 9.3986e-05 | 3332.45 | 157328.15
112 | train | 6.990831 | 0.6498 | 9.4825e-05 | 3332.34 | 157333.26
113 | train | 7.049277 | 0.6045 | 9.5664e-05 | 3332.31 | 157334.70
114 | train | 7.044311 | 1.1280 | 9.6503e-05 | 3332.42 | 157329.36
115 | train | 7.008384 | 0.6666 | 9.7343e-05 | 3332.45 | 157327.93
116 | train | 6.927285 | 0.7272 | 9.8182e-05 | 3332.39 | 157330.73
117 | train | 6.851432 | 1.0709 | 9.9021e-05 | 3332.30 | 157335.26
118 | train | 6.877627 | 0.9908 | 9.9860e-05 | 3332.58 | 157321.85
119 | train | 6.923099 | 0.9500 | 1.0070e-04 | 3332.52 | 157324.61
120 | train | 6.879034 | 0.5412 | 1.0154e-04 | 3332.45 | 157328.06
121 | train | 6.863268 | 0.6432 | 1.0238e-04 | 3332.49 | 157326.35
122 | train | 6.852389 | 0.7499 | 1.0322e-04 | 3332.31 | 157334.61
123 | train | 6.838365 | 0.7464 | 1.0406e-04 | 3332.34 | 157333.32
124 | train | 6.854528 | 0.7545 | 1.0490e-04 | 3332.39 | 157331.05
125 | train | 6.841731 | 0.7253 | 1.0573e-04 | 3332.36 | 157332.16
126 | train | 6.834104 | 0.6903 | 1.0657e-04 | 3332.76 | 157313.52
127 | train | 6.783783 | 0.6332 | 1.0741e-04 | 3332.51 | 157325.03
128 | train | 6.755130 | 0.9440 | 1.0825e-04 | 3332.46 | 157327.51
129 | train | 6.733320 | 1.1585 | 1.0909e-04 | 3332.27 | 157336.62
130 | train | 6.796260 | 0.9552 | 1.0993e-04 | 3332.56 | 157322.75
131 | train | 6.743326 | 0.9391 | 1.1077e-04 | 3332.33 | 157333.69
132 | train | 6.749986 | 0.7705 | 1.1161e-04 | 3332.19 | 157340.41
133 | train | 6.657111 | 0.9696 | 1.1245e-04 | 3332.22 | 157339.18
134 | train | 6.652927 | 1.1571 | 1.1329e-04 | 3332.57 | 157322.55
135 | train | 6.731677 | 0.7894 | 1.1413e-04 | 3332.33 | 157333.88
136 | train | 6.700811 | 1.1087 | 1.1497e-04 | 3332.58 | 157321.84
137 | train | 6.723779 | 0.7759 | 1.1580e-04 | 3332.32 | 157334.38
138 | train | 6.644211 | 0.7017 | 1.1664e-04 | 3332.26 | 157337.28
139 | train | 6.742646 | 0.8410 | 1.1748e-04 | 3332.50 | 157325.86
140 | train | 6.850370 | 0.7080 | 1.1832e-04 | 3332.26 | 157337.09
141 | train | 6.736975 | 0.8940 | 1.1916e-04 | 3332.37 | 157332.04
142 | train | 6.795316 | 0.7939 | 1.2000e-04 | 3332.23 | 157338.27
143 | train | 6.727022 | 0.7854 | 1.2084e-04 | 3332.76 | 157313.39
144 | train | 6.731200 | 0.7923 | 1.2168e-04 | 3332.31 | 157334.61
145 | train | 6.728868 | 1.0884 | 1.2252e-04 | 3332.72 | 157315.21
146 | train | 6.732216 | 0.9377 | 1.2336e-04 | 3332.62 | 157320.00
147 | train | 6.726650 | 0.6561 | 1.2420e-04 | 3332.31 | 157334.89
148 | train | 6.724514 | 0.6530 | 1.2503e-04 | 3332.41 | 157329.98
149 | train | 6.713438 | 0.8448 | 1.2587e-04 | 3332.32 | 157334.03
150 hella -840290309570078464.0000
150 | train | 6.703151 | 0.9324 | 1.2671e-04 | 48521.19 | 10805.34
151 | train | 6.615798 | 0.7569 | 1.2755e-04 | 3332.30 | 157335.11
152 | train | 6.639795 | 0.5516 | 1.2839e-04 | 3332.64 | 157319.33
153 | train | 6.703531 | 0.7478 | 1.2923e-04 | 3332.43 | 157328.94
